,Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
0,19574549,01/11/2011 15:47,07/05/2011 16:08,TLC,Correspondence - Taxi and Limousine Commission,Taxi Compliment,Driver Compliment,,,,,,,,,,,,,Closed,,,07/05/2011 16:08,0 Unspecified,Unspecified,,,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,,,
1,19579718,01/11/2011 03:00,,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10011,226 WEST 20 STREET,WEST 20 STREET,7 AVENUE,8 AVENUE,,,ADDRESS,NEW YORK,,,Open,,,,04 MANHATTAN,MANHATTAN,984813,209834,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.74262245,-73.99796827,"(40.74262244714865, -73.99796826857371)"
2,19573881,01/11/2011 11:31,07/05/2011 16:07,TLC,Correspondence - Taxi and Limousine Commission,Taxi Compliment,Driver Compliment,,,,,,,,,,,,,Closed,,,07/05/2011 16:07,0 Unspecified,Unspecified,,,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,,,
3,19579917,01/11/2011 12:46,,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Non-Residential) (L11),,10128,7 EAST 95 STREET,EAST 95 STREET,5 AVENUE,MADISON AVENUE,,,ADDRESS,NEW YORK,,,Open,,,,08 MANHATTAN,MANHATTAN,996485,226022,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.78704587,-73.95581737,"(40.78704587425496, -73.95581736959971)"
4,19580080,01/11/2011 17:03,,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,11208,721 FOUNTAIN AVENUE,FOUNTAIN AVENUE,WORTMAN AVENUE,COZINE AVENUE,,,ADDRESS,BROOKLYN,,,Open,,,,05 BROOKLYN,BROOKLYN,1020628,180754,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.66272996,-73.86887774,"(40.66272996328775, -73.8688777423775)"
5,19580187,01/11/2011 09:26,,DSNY,Department of Sanitation,Graffiti,Graffiti,Comercial,10459,1011 WESTCHESTER AVENUE,WESTCHESTER AVENUE,EAST 165 STREET,SIMPSON STREET,,,ADDRESS,BRONX,,,Open,,,01/11/2011 09:26,02 BRONX,BRONX,1013835,239525,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.82406681,-73.89310416,"(40.824066811491306, -73.89310415876793)"
6,19580152,01/11/2011 20:33,,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,11372,33-45 94 STREET,94 STREET,NORTHERN BOULEVARD,34 AVENUE,,,ADDRESS,JACKSON HEIGHTS,,,Open,,,,03 QUEENS,QUEENS,1019145,214696,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.75589857,-73.87404721,"(40.75589857186708, -73.87404720624843)"
7,19580185,01/11/2011 09:25,,DSNY,Department of Sanitation,Graffiti,Graffiti,Comercial,10459,1014A WESTCHESTER AVENUE,WESTCHESTER AVENUE,FOX STREET,EAST 165 STREET,,,ADDRESS,BRONX,,,Closed,,,04/02/2012 15:36,02 BRONX,BRONX,1013750,239460,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.82388869,-73.89341156,"(40.82388868935682, -73.89341156428203)"
8,19580189,01/11/2011 09:27,,DSNY,Department of Sanitation,Graffiti,Graffiti,Comercial,10459,1035 WESTCHESTER AVENUE,WESTCHESTER AVENUE,SIMPSON STREET,BEND,,,ADDRESS,BRONX,,,Closed,,,04/02/2012 15:36,02 BRONX,BRONX,1013920,239583,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.82422572,-73.89279678,"(40.824225719802406, -73.89279678256129)"
9,19580195,01/11/2011 13:50,,DSNY,Department of Sanitation,Graffiti,Graffiti,Comercial,10003,418 LAFAYETTE STREET,LAFAYETTE STREET,EAST 4 STREET,ASTOR PLACE,,,ADDRESS,NEW YORK,,,Open,,,01/13/2011 08:52:02 AM,02 MANHATTAN,MANHATTAN,986367,204797,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.72879689,-73.99236184,"(40.72879688978789, -73.99236184179993)"
10,19580221,01/11/2011 18:50,,DSNY,Department of Sanitation,Graffiti,Graffiti,Mixed Use,10458,2842 GRANDCONCOURSE,GRANDCONCOURSE,EAST 197 STREET,EAST 198 STREET,,,ADDRESS,BRONX,,,Open,,,01/13/2011 08:55:39 AM,07 BRONX,BRONX,1014344,256260,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.8699977,-73.89118994,"(40.86999770252244, -73.89118994431134)"
11,19580965,01/12/2011 11:55,01/20/2011 10:09:33 AM,TLC,Taxi and Limousine Commission,Taxi Complaint,Insurance Information Requested,Street,10036,,,,,11 AVENUE,WEST   46 STREET,INTERSECTION,NEW YORK,,,Closed,,,01/20/2011 10:09:33 AM,04 MANHATTAN,MANHATTAN,985231,217395,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.76337544,-73.9964587,"(40.76337543877809, -73.99645870414689)"
12,19581409,01/12/2011 15:08,01/19/2011 03:27:25 PM,TLC,Taxi and Limousine Commission,Taxi Complaint,Insurance Information Requested,Street,10010,,,,,EAST   25 STREET,LEXINGTON AVENUE,INTERSECTION,NEW YORK,,,Closed,,,01/19/2011 03:27:25 PM,05 MANHATTAN,MANHATTAN,988736,209167,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.74079058,-73.98381155,"(40.7407905784571, -73.98381155127129)"
13,19571112,01/10/2011 11:01,,DSNY,Department of Sanitation,Graffiti,Graffiti,,11378,56-09 56 DRIVE,56 DRIVE,56 STREET,58 STREET,,,ADDRESS,Maspeth,,,Open,,,01/10/2011 11:01,02 QUEENS,QUEENS,1007948,203210,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.72440947,-73.91450298,"(40.72440947142569, -73.91450298305242)"
14,19571121,01/10/2011 18:50,,DSNY,Department of Sanitation,Graffiti,Graffiti,Residential,10034,23 POST AVENUE,POST AVENUE,DYCKMAN STREET,ACADEMY STREET,,,ADDRESS,NEW YORK,,,Open,,,01/13/2011 08:48:06 AM,12 MANHATTAN,MANHATTAN,1005203,253697,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.86298948,-73.9242488,"(40.86298948076359, -73.9242488025977)"
15,19571552,01/10/2011 15:14,,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,11216,235 JEFFERSON AVENUE,JEFFERSON AVENUE,NOSTRAND AVENUE,MARCY AVENUE,,,ADDRESS,BROOKLYN,,,Open,,,,03 BROOKLYN,BROOKLYN,998591,188295,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.68349143,-73.94829267,"(40.68349142871483, -73.94829267269638)"
16,19571433,01/10/2011 12:24,,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10453,1590 UNDERCLIFF AVENUE,UNDERCLIFF AVENUE,WEST 174 STREET,WEST 175 STREET,,,ADDRESS,BRONX,,,Open,,,,05 BRONX,BRONX,1005696,248412,Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.84848256,-73.92248337,"(40.84848255580813, -73.92248337295159)"
17,19571437,01/10/2011 12:36,,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10028,525 EAST 82 STREET,EAST 82 STREET,YORK AVENUE,EAST END AVENUE,,,ADDRESS,NEW YORK,,,Open,,,,08 MANHATTAN,MANHATTAN,998584,220917,Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.77303085,-73.94824842,"(40.77303084702639, -73.94824842255134)"
18,19571486,01/10/2011 14:24,,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,11374,66-01 BURNS STREET,BURNS STREET,DEAD END,THORNTON PLACE,,,ADDRESS,REGO PARK,,,Open,,,,06 QUEENS,QUEENS,1023553,203004,Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.72378848,-73.85820496,"(40.723788482937245, -73.85820495907939)"
19,19571301,01/10/2011 09:11,,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,11229,1816 AVENUE W,AVENUE W,EAST 18 STREET,EAST 19 STREET,,,ADDRESS,BROOKLYN,,,Open,,,,15 BROOKLYN,BROOKLYN,997456,155930,Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.59465821,-73.95244833,"(40.59465821033245, -73.9524483284194)"
